3,10,21,7,14,8,23,13
0,5,19,22,4,18,16,6
11,1,17,2,15,20,9,12
7,21,18,13,17,15,4,11
3,16,6,20,14,9,2,10
23,0,12,19,1,8,5,22
22,11,21,9,15,16,7,14
18,3,20,10,6,8,12,23
5,0,19,13,4,2,17,1
11,14,21,4,9,22,17,19
10,12,20,2,13,18,8,15
7,0,23,5,6,1,3,16
10,19,4,22,7,3,16,5
17,8,12,6,11,18,0,20
15,13,9,1,2,23,14,21
13,15,7,8,23,20,22,18
4,6,19,21,1,17,2,3
10,0,5,14,16,12,11,9
11,17,19,14,13,8,0,4
16,21,18,15,9,12,10,20
6,22,3,23,1,7,2,5
14,18,15,17,4,12,22,3
20,19,8,21,16,7,0,9
6,2,13,5,23,11,1,10
9,16,4,0,12,2,6,7
15,19,11,14,20,22,8,10
1,23,3,21,5,13,18,17
0,17,10,14,22,13,15,1
11,21,4,5,20,19,6,7
18,2,8,3,16,12,23,9
4,7,22,0,2,10,5,23
12,3,6,13,8,19,11,16
15,20,18,9,1,14,21,17
1,13,10,4,9,0,21,2
22,5,18,15,12,6,11,3
17,23,20,8,14,19,7,16
