20,5,13,8,12,14,10
21,1,6,2,7,18,17
15,3,11,16,4,19,9
17,20,13,19,10,8,12
5,14,16,1,2,7,9
3,15,11,18,6,4,21
7,16,4,17,1,21,10
9,20,13,8,15,11,19
2,3,18,6,14,5,12
10,6,2,18,11,12,13
3,19,5,20,16,21,9
7,14,8,1,17,15,4
12,3,11,10,5,7,6
1,2,9,21,16,18,19
4,14,17,20,15,13,8
3,10,8,12,2,1,14
13,15,19,4,9,21,7
17,5,16,11,18,6,20
11,16,6,14,5,8,21
20,9,15,10,17,19,2
12,13,3,7,4,1,18
8,1,21,20,12,13,6
11,19,18,4,7,14,5
16,2,17,15,9,3,10
6,4,19,10,21,12,9
17,8,11,18,3,1,20
15,16,7,13,5,2,14
7,21,6,3,20,10,1
14,15,19,12,5,17,16
11,2,9,4,8,18,13
8,17,19,16,1,13,18
15,5,12,21,6,20,7
9,11,3,2,4,14,10
10,7,6,4,17,11,1
9,2,12,13,20,5,15
8,16,21,3,19,14,18
