5,22,17,2,12,27,1,8,25
20,16,15,11,24,18,3,14,26
19,6,7,4,10,9,13,23,21
4,9,19,2,25,8,10,1,23
16,7,12,22,24,18,3,27,13
5,6,11,20,15,14,26,21,17
6,16,11,12,4,21,8,10,24
14,15,2,23,27,13,7,19,18
20,5,26,1,3,9,17,25,22
2,7,8,26,17,12,15,21,14
23,10,25,9,20,16,27,11,4
18,24,13,3,19,5,22,1,6
26,4,25,18,1,19,11,7,5
10,15,21,14,12,6,27,8,3
23,24,17,16,13,9,20,2,22
6,13,27,8,26,25,18,21,23
19,7,20,12,9,4,16,15,17
3,14,1,24,10,2,11,22,5
15,8,27,7,11,23,26,12,13
24,21,20,1,16,25,18,4,6
2,17,19,14,22,10,5,3,9
23,6,2,26,15,18,14,1,24
17,3,22,21,11,16,4,9,19
8,25,12,10,13,5,20,7,27
7,3,10,4,22,8,2,6,19
21,27,24,12,1,18,15,26,9
5,23,17,20,14,25,16,11,13
20,16,23,25,6,5,4,2,17
18,1,7,14,22,9,15,10,27
24,8,26,19,13,3,21,12,11
8,19,15,13,6,1,9,5,20
24,4,27,25,2,14,22,7,21
26,18,11,17,10,16,12,23,3
10,23,19,18,8,14,2,16,6
26,22,5,25,11,4,12,15,7
9,17,21,24,1,20,3,13,27
